id,dteday,season,month,hour,is_holiday,weekday,is_workingday,weather_situation,count
1,2011-01-01,1,1,0,0,6,0,1,16
2,2011-01-01,1,1,1,0,6,0,1,40
3,2011-01-01,1,1,2,0,6,0,1,32
4,2011-01-01,1,1,3,0,6,0,1,13
5,2011-01-01,1,1,4,0,6,0,1,1
6,2011-01-01,1,1,5,0,6,0,2,1
7,2011-01-01,1,1,6,0,6,0,1,2
8,2011-01-01,1,1,7,0,6,0,1,3
9,2011-01-01,1,1,8,0,6,0,1,8
10,2011-01-01,1,1,9,0,6,0,1,14
11,2011-01-01,1,1,10,0,6,0,1,36
12,2011-01-01,1,1,11,0,6,0,1,56
13,2011-01-01,1,1,12,0,6,0,1,84
14,2011-01-01,1,1,13,0,6,0,2,94
15,2011-01-01,1,1,14,0,6,0,2,106
16,2011-01-01,1,1,15,0,6,0,2,110
17,2011-01-01,1,1,16,0,6,0,2,93
18,2011-01-01,1,1,17,0,6,0,2,67
19,2011-01-01,1,1,18,0,6,0,3,35
20,2011-01-01,1,1,19,0,6,0,3,37
21,2011-01-01,1,1,20,0,6,0,2,36
22,2011-01-01,1,1,21,0,6,0,2,34
23,2011-01-01,1,1,22,0,6,0,2,28
24,2011-01-01,1,1,23,0,6,0,2,39
25,2011-01-02,1,1,0,0,0,0,2,17
26,2011-01-02,1,1,1,0,0,0,2,17
27,2011-01-02,1,1,2,0,0,0,2,9
28,2011-01-02,1,1,3,0,0,0,2,6
29,2011-01-02,1,1,4,0,0,0,2,3
30,2011-01-02,1,1,6,0,0,0,3,2
31,2011-01-02,1,1,7,0,0,0,2,1
32,2011-01-02,1,1,8,0,0,0,3,8
33,2011-01-02,1,1,9,0,0,0,2,20
34,2011-01-02,1,1,10,0,0,0,2,53
35,2011-01-02,1,1,11,0,0,0,2,70
36,2011-01-02,1,1,12,0,0,0,2,93
37,2011-01-02,1,1,13,0,0,0,2,75
38,2011-01-02,1,1,14,0,0,0,3,59
39,2011-01-02,1,1,15,0,0,0,3,74
40,2011-01-02,1,1,16,0,0,0,3,76
41,2011-01-02,1,1,17,0,0,0,1,65
42,2011-01-02,1,1,18,0,0,0,2,53
43,2011-01-02,1,1,19,0,0,0,1,30
44,2011-01-02,1,1,20,0,0,0,1,22
45,2011-01-02,1,1,21,0,0,0,1,31
46,2011-01-02,1,1,22,0,0,0,1,9
47,2011-01-02,1,1,23,0,0,0,1,8
